name,init_stack,init_heap
gcp_projects_cos-cloud_global_images_cos-dev-125-19014-0-0,zero,none
gcp_projects_cos-cloud_global_images_cos-stable-117-18613-164-124,zero,none
gcp_projects_debian-cloud_global_images_debian-11-bullseye-v20250415,none,zero
gcp_projects_debian-cloud_global_images_debian-12-bookworm-v20250415,zero,zero
gcp_projects_opensuse-cloud_global_images_opensuse-leap-15-6-v20250408-x86-64,none,none
gcp_projects_oracle-linux-cloud_global_images_oracle-linux-8-v20250322,zero,none
gcp_projects_oracle-linux-cloud_global_images_oracle-linux-9-v20250322,zero,none
gcp_projects_rhel-cloud_global_images_rhel-8-v20250415,unknown,none
gcp_projects_rhel-cloud_global_images_rhel-9-v20250415,none,none
gcp_projects_rhel-sap-cloud_global_images_rhel-8-10-sap-v20250415,unknown,none
gcp_projects_rhel-sap-cloud_global_images_rhel-8-4-sap-v20250415,unknown,none
gcp_projects_rhel-sap-cloud_global_images_rhel-8-6-sap-v20250415,unknown,none
gcp_projects_rhel-sap-cloud_global_images_rhel-8-8-sap-v20250415,unknown,none
gcp_projects_rhel-sap-cloud_global_images_rhel-9-0-sap-v20250415,none,none
gcp_projects_rhel-sap-cloud_global_images_rhel-9-2-sap-v20250415,none,none
gcp_projects_rhel-sap-cloud_global_images_rhel-9-4-sap-v20250415,none,none
gcp_projects_rocky-linux-accelerator-cloud_global_images_rocky-linux-8-optimized-gcp-nvidia-550-v20250415,unknown,none
gcp_projects_rocky-linux-accelerator-cloud_global_images_rocky-linux-8-optimized-gcp-nvidia-570-v20250415,unknown,none
gcp_projects_rocky-linux-accelerator-cloud_global_images_rocky-linux-8-optimized-gcp-nvidia-latest-v20250415,unknown,none
gcp_projects_rocky-linux-accelerator-cloud_global_images_rocky-linux-9-optimized-gcp-nvidia-550-v20250415,none,none
gcp_projects_rocky-linux-accelerator-cloud_global_images_rocky-linux-9-optimized-gcp-nvidia-570-v20250415,none,none
gcp_projects_rocky-linux-accelerator-cloud_global_images_rocky-linux-9-optimized-gcp-nvidia-latest-v20250415,none,none
gcp_projects_rocky-linux-cloud_global_images_rocky-linux-8-optimized-gcp-v20250415,unknown,none
gcp_projects_rocky-linux-cloud_global_images_rocky-linux-8-v20250415,unknown,none
gcp_projects_rocky-linux-cloud_global_images_rocky-linux-9-optimized-gcp-v20250415,none,none
gcp_projects_rocky-linux-cloud_global_images_rocky-linux-9-v20250415,none,none
gcp_projects_suse-cloud_global_images_sles-12-sp5-v20250408-x86-64,unknown,unknown
